source,target,bleed_genes
Blastomeres_50p_animal_pole,EVL,"['acvr1ba', 'adka', 'ahi1', 'arl4ab', 'axin2', 'btg2', 'clic4', 'crabp2b', 'ddx4', 'dld', 'efnb2a', 'egln1b', 'eve1', 'flrt3', 'foxa', 'foxa2', 'foxa3', 'foxb1a', 'foxc1a', 'foxh1', 'foxn2b', 'foxp2', 'fscn1a', 'gata5', 'gata6', 'gmnn', 'gsc', 'her1', 'her7', 'irf2a', 'itm2cb', 'kazald2', 'kirrel3l', 'lef1', 'lft1', 'lhx1a', 'mdm2', 'mixl1', 'mycn', 'ndr2', 'osr1', 'otx2a', 'pcdh8', 'pknox1.1', 'plekhg5b', 'rab11fip4a', 'rasgef1ba', 'rasl11b', 'sebox', 'si:dkey-68o6.5', 'tbx16l', 'tcf7l1a', 'tfap2c', 'tp63', 'tph1b', 'trps1', 'ved', 'wnt8a', 'zic2a']"
Blastomeres_50p_animal_pole,Ventral_margin_early,"['ackr3b', 'add3b', 'adka', 'ahi1', 'alcamb', 'aldob', 'anp32e', 'aplnra', 'bambia', 'baz1b', 'bmp2b', 'bmp7a', 'btg2', 'ccnf', 'cdc14b', 'cdh1', 'crabp2b', 'cxcr4a', 'dact2', 'dkc1', 'drll.3', 'dynll1', 'egln1b', 'elavl3', 'elf1', 'epcam', 'eppk1', 'etv4', 'f11r.1', 'foxb1a', 'foxd3', 'foxd5', 'foxi1', 'foxn2b', 'fzd7a', 'gata2a', 'gmnn', 'grhl1', 'helb', 'her5', 'irf2a', 'itm2cb', 'kazald2', 'klf2a', 'klf2b', 'krt4', 'krt8', 'lhx5', 'map2k6', 'mdm2', 'mych', 'mycla', 'mycn', 'nasp', 'ncapd2', 'nrarpa', 'nsd2', 'oclna', 'otx2a', 'perp', 'raraa', 'rasl11b', 'rrbp1b', 'rreb1a', 'sall3b', 'si:ch211-106e7.2', 'si:dkey-68o6.5', 'skia', 'sox11a', 'sox11b', 'sp5l', 'stmn1a', 'tcf7l1a', 'tcf7l1b', 'tfap2a', 'tfap2c', 'tlcd5a', 'tuba8l4', 'uncx4.1', 'vgll4l', 'vox', 'zc4h2', 'zeb1a', 'zeb2b', 'zgc:113424', 'znf185']"
Blastomeres_50p_sagb,Blastomeres,"['acvr1ba', 'add3b', 'admp', 'ahi1', 'alcamb', 'aldob', 'axin2', 'bambia', 'bmp4', 'bmp7a', 'ccnf', 'dact2', 'dynll1', 'efnb2a', 'efnb2b', 'elf1', 'epha2a', 'eppk1', 'ets2', 'etv4', 'eve1', 'flrt3', 'foxa2', 'foxc1a', 'foxp2', 'gata2a', 'gata6', 'grhl1', 'her1', 'her7', 'ism1', 'krt99', 'lamb1a', 'map2k6', 'mych', 'noto', 'osr1', 'pcdh8', 'perp', 'pitx2', 'pknox1.1', 'prickle1b', 'rab11fip4a', 'raraa', 'rasgef1ba', 'rfx2', 'rreb1a', 'skia', 'stox1', 'tagln2', 'tbx16', 'tcf7l1a', 'tcf7l1b', 'tfap2c', 'tp63', 'trps1', 'ved', 'vent', 'vox', 'zeb1a', 'zeb2b', 'znf185', 'znfl2a', 'zswim5']"
Blastomeres_50p_sagb,Blastomeres_50p_animal_pole,"['ackr3b', 'acvr1ba', 'admp', 'ahi1', 'alcamb', 'aplnra', 'axin2', 'bmp2b', 'bmp7a', 'ccnf', 'cdc14b', 'dact2', 'drll.2', 'efnb2b', 'egln1b', 'elavl3', 'elf1', 'epha2a', 'eppk1', 'ets2', 'etv4', 'flrt3', 'fosab', 'foxa', 'foxa2', 'foxb1a', 'foxc1a', 'foxp2', 'gata3', 'grhl1', 'gsc', 'her6', 'ism1', 'kazald2', 'klf2a', 'krt8', 'krt99', 'lamb1a', 'lef1', 'lhx5', 'lratd1', 'map2k6', 'mdm2', 'ncapd2', 'noto', 'nsd2', 'osr1', 'pcdh8', 'perp', 'pitx2', 'pknox1.1', 'plekhg5b', 'prickle1b', 'rab11fip4a', 'raraa', 'rasgef1ba', 'rfx2', 'rreb1a', 'sall3b', 'si:ch211-106e7.2', 'skia', 'stox1', 'tagln2', 'tbx16', 'tbx16l', 'tcf7l1a', 'tcf7l1b', 'tp63', 'trps1', 'uncx4.1', 'vent', 'vgll4l', 'wnt8a', 'zeb1a', 'zeb2b', 'zic2a', 'znf185', 'zswim5']"
Blastomeres_50p_sagb,Blastomeres_foxo3b,"['ackr3b', 'add3b', 'admp', 'ahi1', 'alcamb', 'aldob', 'aplnra', 'arl4ab', 'axin2', 'bmp4', 'bmp7a', 'cxcr4a', 'drll.2', 'efnb2a', 'efnb2b', 'elavl3', 'elf1', 'epha2a', 'etv4', 'flrt3', 'foxb1a', 'foxc1a', 'foxd3', 'foxd5', 'foxp2', 'gata3', 'gata5', 'gata6', 'grhl1', 'gsc', 'helb', 'her1', 'her6', 'her7', 'ism1', 'itm2cb', 'kazald2', 'kirrel3l', 'klf2a', 'klf2b', 'klf3', 'krt99', 'lamb1a', 'mycn', 'ncapd2', 'ndr2', 'noto', 'nsd2', 'pcdh8', 'pknox1.1', 'prickle1b', 'rab11fip4a', 'raraa', 'rasgef1ba', 'rfx2', 'rreb1a', 'sall3b', 'sebox', 'si:ch211-106e7.2', 'skia', 'sox11a', 'stox1', 'tagln2', 'tbx16', 'tcf7l1a', 'tcf7l1b', 'tfap2a', 'tp63', 'tph1b', 'trps1', 'uncx4.1', 'zc4h2', 'zeb1a', 'zeb2b', 'zgc:113424', 'zic2a', 'zic3', 'znf185', 'zswim5']"
Blastomeres_50p_sagb,Dorsal_margin_early,"['ackr3b', 'add3b', 'adka', 'ahi1', 'alcamb', 'aldob', 'anp32e', 'aplnra', 'axin2', 'bambia', 'baz1b', 'bmp2b', 'bmp7a', 'ccnf', 'cdc14b', 'cdx4', 'crabp2b', 'cxcr4a', 'dkc1', 'drll.3', 'dynll1', 'egln1b', 'elavl3', 'elf1', 'eppk1', 'etv4', 'foxh1', 'foxn2b', 'foxp2', 'fzd7a', 'gata2a', 'gata3', 'grhl1', 'helb', 'her6', 'irf2a', 'kazald2', 'klf2b', 'krt8', 'lamb1a', 'lhx5', 'lratd1', 'map2k6', 'mdm2', 'mych', 'ncapd2', 'nsd2', 'perp', 'rab11fip4a', 'raraa', 'rasl11b', 'rfx2', 'rreb1a', 'si:ch211-106e7.2', 'skia', 'snai2', 'sox11b', 'sox19a', 'stmn1a', 'stox1', 'tagln2', 'tbx16', 'tcf7l1a', 'tcf7l1b', 'tfap2a', 'tlcd5a', 'tp63', 'trps1', 'vent', 'vgll4l', 'vox', 'wnt8a', 'zc4h2', 'zeb1a', 'zeb2b', 'zgc:113424', 'znf185']"
Blastomeres_50p_sagb,EVL,"['acvr1ba', 'adka', 'ahi1', 'arl4ab', 'axin2', 'bambia', 'baz1b', 'bmp4', 'clic4', 'ddx4', 'dkk1b', 'egln1b', 'eve1', 'flrt3', 'fosab', 'foxa2', 'foxb1a', 'foxc1a', 'foxd5', 'foxh1', 'foxn2b', 'foxp2', 'gmnn', 'gsc', 'helb', 'her1', 'her7', 'irf2a', 'ism1', 'itm2cb', 'kazald2', 'lef1', 'lft1', 'map2k6', 'mdm2', 'mycn', 'ndr2', 'noto', 'osr1', 'otx2a', 'pcdh8', 'pitx2', 'plekhg5b', 'rab11fip4a', 'rasl11b', 'rrbp1b', 'si:dkey-68o6.5', 'tbx16l', 'tbxta', 'tcf7l1a', 'tcf7l1b', 'tfap2c', 'trps1', 'wnt8a', 'zswim5']"
Blastomeres_50p_sagb,Ventral_margin_early,"['ackr3b', 'add3b', 'adka', 'ahi1', 'alcamb', 'aldob', 'anp32e', 'aplnra', 'baz1b', 'bmp2b', 'bmp7a', 'btg2', 'ccnf', 'cdc14b', 'cdh1', 'crabp2b', 'cxcr4a', 'dact2', 'dkc1', 'dynll1', 'egln1b', 'elavl3', 'elf1', 'epcam', 'eppk1', 'etv4', 'f11r.1', 'fosab', 'foxb1a', 'foxh1', 'foxi1', 'foxn2b', 'foxp2', 'gata2a', 'gata3', 'gmnn', 'grhl1', 'gsc', 'helb', 'her5', 'irf2a', 'kazald2', 'klf2a', 'klf2b', 'krt18a.1', 'krt4', 'krt8', 'lhx5', 'map2k6', 'mdm2', 'mych', 'mycla', 'mycn', 'nasp', 'ncapd2', 'nsd2', 'oclna', 'otx2a', 'perp', 'raraa', 'rfx2', 'rrbp1b', 'rreb1a', 'sall3b', 'si:ch211-106e7.2', 'si:dkey-68o6.5', 'skia', 'snai2', 'sox11a', 'sox11b', 'stmn1a', 'stox1', 'tagln2', 'tcf7l1a', 'tcf7l1b', 'tfap2a', 'tfap2c', 'tlcd5a', 'trps1', 'tuba8l4', 'uncx4.1', 'vgll4l', 'vox', 'zc4h2', 'zeb1a', 'zgc:113424', 'znf185']"
Blastomeres_foxo3b,Blastomeres,"['acvr1ba', 'add3b', 'adka', 'aldob', 'anp32e', 'axin2', 'bambia', 'bmp2b', 'bmp4', 'bmp7a', 'ccnf', 'cdx4', 'clic4', 'crabp2b', 'dact2', 'dld', 'dynll1', 'efna1a', 'efnb2a', 'egln1b', 'epha2a', 'eppk1', 'ets2', 'etv4', 'eve1', 'fgf8a', 'flrt3', 'foxa2', 'fzd7a', 'gata5', 'gata6', 'her1', 'irf2a', 'ism1', 'kirrel3l', 'klf3', 'krt18a.1', 'krt4', 'krt8', 'krt99', 'lamb1a', 'lef1', 'lft1', 'lft2', 'lhx1a', 'map2k6', 'mixl1', 'mych', 'ndr1', 'ndr2', 'noto', 'osr1', 'pcdh8', 'perp', 'pitx2', 'pknox1.1', 'plekhg5b', 'rab11fip4a', 'raraa', 'rfx2', 'skia', 'sox19a', 'sox32', 'stox1', 'tagln2', 'tbx16', 'tbx16l', 'tcf7l1a', 'tcf7l1b', 'tfap2c', 'tlcd5a', 'tp63', 'tph1b', 'trps1', 'ved', 'vent', 'vox', 'vrtn', 'wnt8a', 'zeb1a', 'zic2b', 'znfl2a', 'zswim5']"
Blastomeres_foxo3b,Blastomeres_50p_animal_pole,"['ackr3b', 'acvr1ba', 'ahi1', 'arl4ab', 'arl4d', 'axin2', 'bmp2b', 'bmp7a', 'btg2', 'ccnf', 'cdc14b', 'cdh1', 'cdx4', 'chrd', 'clic4', 'crabp2b', 'dact2', 'ddx4', 'dynll1', 'efna1a', 'efnb2b', 'egln1b', 'elavl3', 'epcam', 'eppk1', 'ets2', 'eve1', 'f11r.1', 'fgf8a', 'flrt3', 'foxa', 'foxa2', 'foxn2b', 'fscn1a', 'fzd7a', 'gata3', 'gata5', 'gata6', 'gmnn', 'gsc', 'irf2a', 'ism1', 'kirrel3l', 'klf3', 'krt18a.1', 'krt8', 'krt99', 'lef1', 'lft1', 'lft2', 'lhx1a', 'lhx5', 'lratd1', 'map2k6', 'mixl1', 'nasp', 'ndr1', 'ndr2', 'noto', 'osr1', 'otx2a', 'pcdh8', 'perp', 'pitx2', 'plekhg5b', 'prickle1b', 'rab11fip4a', 'rfx2', 'rrbp1b', 'sall3b', 'si:dkey-68o6.5', 'snai2', 'sox32', 'tagln2', 'tbx16l', 'tfap2c', 'tph1b', 'vent', 'vgll4l', 'wnt8a', 'zswim5']"
