source,target,bleed_genes
Definitive endoderm early,Definitive endoderm late,"['acvr1ba', 'admp', 'alcamb', 'aldob', 'anp32e', 'arl4aa', 'atp2b1a', 'bambia', 'bmp2b', 'bmp4', 'cdh1', 'chrd', 'clic4', 'crabp2b', 'cst3', 'cxcr4a', 'dact2', 'dbx1a', 'ddx4', 'dkk1b', 'dynll1', 'ednraa', 'efnb2a', 'efnb2b', 'epcam', 'eppk1', 'ets2', 'eve1', 'f11r.1', 'fgf8a', 'flrt3', 'fn1b', 'foxa', 'foxa3', 'foxb1b', 'foxc1a', 'foxn2b', 'fscn1a', 'fzd7a', 'fzd8a', 'gata6', 'gsc', 'helb', 'her1', 'her5', 'her6', 'her9', 'id3', 'irx1b', 'irx7', 'ism1', 'jcada', 'kazald2', 'kirrel3l', 'klf2a', 'klf2b', 'krt18a.1', 'krt4', 'krt8', 'krt99', 'lamc1', 'lamp2', 'lft1', 'lft2', 'lhx1a', 'lhx5', 'mespab', 'mixl1', 'mns1', 'msgn1', 'msx1b', 'mych', 'nasp', 'ndr2', 'notch1a', 'oclna', 'olig4', 'osr1', 'otx2a', 'pcdh8', 'pknox1.1', 'plekhg5b', 'rasgef1ba', 'rasl11b', 'rcc1', 'rfx2', 'rhov', 'ripply1', 'rnd1b', 'rrbp1b', 'sall3b', 'sdc4', 'shha', 'si:ch211-155e24.3', 'si:dkey-261m9.12', 'six3b', 'six4a', 'six4b', 'six7', 'skia', 'skilb', 'snai1a', 'sox11a', 'sox11b', 'sox2', 'sox32', 'sp8b', 'tagln2', 'tbx1', 'tbx16', 'tbx16l', 'tbx6', 'tbxta', 'tcf3b', 'tcf7l1a', 'tdgf1', 'tead1a', 'tfap2a', 'tgif1', 'tph1b', 'tuba8l2', 'vent', 'vgll4l', 'vrtn', 'xbp1', 'ypel3', 'zeb1a', 'zeb1b', 'zic2a', 'zic3', 'znf185', 'znfl2a', 'zswim5']"
Definitive endoderm early,Ectoderm dorsal anterior,"['ahi1', 'arl4aa', 'arl4ab', 'axin2', 'bach1b', 'bmp7a', 'clic4', 'creb3l1', 'creb3l2', 'dact2', 'ednraa', 'efna1a', 'efnb2a', 'efnb2b', 'elf1', 'etv5b', 'fbln2', 'fgf8a', 'fn1b', 'gsc', 'helb', 'her5', 'itm2cb', 'jcada', 'krt18a.1', 'krt8', 'lbx2', 'lft1', 'ndr2', 'nog1', 'noto', 'ntd5', 'osr1', 'perp', 'rfx2', 'rhov', 'ripply1', 'rrbp1b', 'sall3b', 'sdc4', 'shha', 'si:ch211-155e24.3', 'sox13', 'sox5', 'stox1', 'tagln2', 'tbx6', 'tbxtb', 'tcf3b', 'vrtn', 'wnt8a', 'xbp1', 'ypel3', 'znfl2a', 'zswim5']"
Definitive endoderm early,Ectoderm ventral anterior,"['admp', 'arl4ab', 'axin2', 'bach1b', 'cdx4', 'clic4', 'creb3l1', 'creb3l2', 'dact2', 'dld', 'efemp2b', 'efna1a', 'efnb2b', 'etv5b', 'eve1', 'fgf8a', 'foxb1a', 'fzd7a', 'gsc', 'helb', 'her6', 'id3', 'irx7', 'itm2cb', 'jcada', 'klf3', 'krt18a.1', 'krt8', 'lamb1a', 'lbx2', 'lft1', 'lima1a', 'meis3', 'ndr2', 'nog1', 'noto', 'ntd5', 'osr1', 'otx2a', 'perp', 'pknox1.1', 'raraa', 'rfx2', 'ripply1', 'rrbp1b', 'sdc4', 'shha', 'si:ch211-106e7.2', 'si:ch211-155e24.3', 'sox13', 'sox5', 'stox1', 'tbx6', 'tcf3b', 'tdgf1', 'uncx4.1', 'vgll4l', 'wnt8a', 'ypel3', 'zswim5']"
Definitive endoderm early,Mesoderm caudal,"['acvr1ba', 'aldob', 'apoc1', 'arl4d', 'atf6', 'bach1b', 'bambia', 'baz1b', 'bmp2b', 'bmp4', 'bmp7a', 'btg2', 'cdh1', 'cdh2', 'chrd', 'creb3l1', 'creb3l2', 'ddx4', 'dkk1b', 'dnmt3bb.2', 'dynll1', 'efna1a', 'efnb2a', 'elf1', 'epcam', 'ephb3a', 'eppk1', 'etv5b', 'f11r.1', 'fezf2', 'flrt3', 'fn1a', 'fnbp1l', 'foxa', 'foxp1b', 'gbx1', 'gli2a', 'gsc', 'her9', 'hoxb1b', 'ism1', 'kazald2', 'klf2a', 'klf2b', 'klf8', 'krt18a.1', 'krt4', 'krt8', 'krt99', 'lamb1a', 'lamc1', 'lmo4a', 'map2k6', 'meis3', 'mns1', 'mycla', 'myclb', 'nsd2', 'perp', 'plekhg5b', 'raraa', 'rfx2', 'ripply1', 'sdc4', 'si:ch211-155e24.3', 'si:dkey-261m9.12', 'skia', 'sox11a', 'sox11b', 'sp5l', 'sp8b', 'stox1', 'szl', 'tagln2', 'tcf7l1b', 'tdgf1', 'tead1a', 'tfap2c', 'tgif1', 'tp63', 'tram1', 'twist2', 'ypel3']"
Definitive endoderm early,Mesoderm ventral,"['acvr1ba', 'alcamb', 'aldob', 'apoc1', 'arl4d', 'atf6', 'atp2b1a', 'bach1b', 'bambia', 'baz1b', 'bmp2b', 'bmp4', 'bmp7a', 'cdh1', 'cdh2', 'cdkn1ca', 'creb3l2', 'cst3', 'ddx4', 'dkk1b', 'dnmt3bb.2', 'dynll1', 'ednraa', 'epcam', 'epha2a', 'etv4', 'etv5b', 'eve1', 'f11r.1', 'fbln2', 'fnbp1l', 'foxa3', 'foxb1a', 'foxd3', 'foxp1b', 'fscn1a', 'fzd7a', 'fzd8a', 'gata2a', 'gata5', 'gata6', 'gbx1', 'gli2a', 'gsc', 'her5', 'her8a', 'her9', 'id3', 'irx7', 'klf2b', 'klf3', 'krt18a.1', 'krt8', 'krt99', 'lamb1a', 'lamp2', 'lhx1a', 'lhx5', 'lima1a', 'map2k6', 'mns1', 'mycla', 'myclb', 'nasp', 'nog1', 'noto', 'nsd2', 'oclna', 'olig4', 'otx2a', 'otx2b', 'perp', 'prdm1a', 'rasl11b', 'rbbp4', 'rcc1', 'rfx2', 'rnd1b', 'rrbp1b', 'shha', 'si:ch211-155e24.3', 'si:dkey-261m9.12', 'six3b', 'six4b', 'six7', 'smtnl', 'snai1a', 'sox11a', 'sox2', 'sox3', 'sp5l', 'sp8b', 'stox1', 'szl', 'tagln2', 'tbx1', 'tbx16', 'tcf7l1a', 'tcf7l1b', 'tdgf1', 'tgif1', 'tp63', 'tph1b', 'tram1', 'tshz3b', 'twist2', 'vent', 'xbp1', 'zic2b', 'znf185']"
Definitive endoderm early,Neurectoderm posterior,"['acvr1ba', 'ahi1', 'arl4aa', 'atf6', 'clic4', 'creb3l1', 'creb3l2', 'dkk1b', 'dld', 'efna1a', 'efnb2a', 'elf1', 'epcam', 'erf', 'eve1', 'f11r.1', 'fbln2', 'fn1b', 'fzd7a', 'gsc', 'helb', 'her1', 'her5', 'her6', 'her7', 'itm2cb', 'jcada', 'klf2b', 'krt18a.1', 'krt8', 'lbx2', 'lft1', 'lft2', 'ndr2', 'notch1a', 'ntd5', 'osr1', 'perp', 'ripply1', 'sall3b', 'sdc4', 'shha', 'si:ch211-106e7.2', 'si:ch211-155e24.3', 'si:dkey-261m9.12', 'six3b', 'sox13', 'sox5', 'stox1', 'tagln2', 'tbx6', 'tbxta', 'tead1a', 'tph1b', 'tram1', 'uncx4.1', 'ypel3', 'zic2a', 'znfl2a', 'zswim5']"
Definitive endoderm early,Neuroectoderm anterior,"['ahi1', 'arl4ab', 'axin2', 'bach1b', 'cdh2', 'creb3l1', 'creb3l2', 'cst3', 'dact2', 'ednraa', 'efna1a', 'efnb2a', 'efnb2b', 'elf1', 'etv5b', 'f11r.1', 'fbln2', 'fgf8a', 'fn1b', 'gbx1', 'gsc', 'helb', 'her5', 'ism1', 'itgb5', 'itm2cb', 'jcada', 'krt18a.1', 'krt8', 'lbx2', 'lft1', 'meox1', 'mixl1', 'ndr2', 'nog1', 'notch1a', 'noto', 'ntd5', 'osr1', 'pcdh8', 'rfx2', 'rhov', 'ripply1', 'rrbp1b', 'sall3b', 'sdc4', 'shha', 'si:ch211-155e24.3', 'skilb', 'sox5', 'stox1', 'tagln2', 'tbx6', 'tbxtb', 'tcf3b', 'vrtn', 'wnt8a', 'ypel3', 'zswim5']"
Definitive endoderm early,Paraxial mesoderm,"['acvr1ba', 'alcamb', 'aldob', 'arl4d', 'atf6', 'atp2b1a', 'baz1b', 'c1qbp', 'cdh1', 'cdh2', 'cdx4', 'creb3l2', 'cst3', 'ddx4', 'dnmt3bb.2', 'drll.3', 'dynll1', 'ednraa', 'efna1a', 'elf1', 'epcam', 'eppk1', 'etv5b', 'eve1', 'f11r.1', 'fbln2', 'fezf2', 'flrt3', 'fnbp1l', 'foxd5', 'foxh1', 'foxp1b', 'foxp2', 'fscn1a', 'fzd7a', 'gsc', 'her8a', 'her9', 'irx7', 'klf8', 'krt4', 'krt99', 'lamb1a', 'lamp2', 'lhx1a', 'lhx5', 'lmo4a', 'map2k6', 'mixl1', 'mns1', 'msx1b', 'mycla', 'nasp', 'ndr2', 'nog1', 'noto', 'nsd2', 'oclna', 'plekhg5b', 'prdm1a', 'raraa', 'rasl11b', 'rbbp4', 'rcc1', 'rfx2', 'rnd1b', 'sdc4', 'si:ch211-106e7.2', 'si:dkey-261m9.12', 'snai1a', 'sox11a', 'sox11b', 'sox19a', 'sox2', 'sox3', 'sp8b', 'stox1', 'tagln2', 'tcf7', 'tcf7l1a', 'tcf7l1b', 'tdgf1', 'tead1a', 'tgif1', 'tp63', 'tram1', 'tshz3b', 'uhrf1', 'xbp1', 'ypel3', 'zc4h2', 'zic2b', 'znf185', 'znfl2a']"
Definitive endoderm early,Prechordal plate early,"['acvr1ba', 'ahi1', 'alcamb', 'aldob', 'anp32e', 'atp2b1a', 'bambia', 'baz1b', 'bmp4', 'cdc14b', 'cdh2', 'cdkn1ca', 'clic4', 'crabp2b', 'ddx4', 'dnmt3bb.2', 'dynll1', 'efna1a', 'epcam', 'eppk1', 'erf', 'ets2', 'etv4', 'etv5b', 'f11r.1', 'fn1a', 'fnbp1l', 'foxb1a', 'foxh1', 'fscn1a', 'fzd7a', 'gbx1', 'gli2a', 'helb', 'her5', 'her8a', 'itm2cb', 'klf3', 'krt99', 'lamc1', 'lamp2', 'lbx2', 'lhfpl6', 'meis1b', 'mns1', 'myclb', 'mycn', 'nasp', 'nsd2', 'oclna', 'pknox1.1', 'rasl11b', 'rbbp4', 'rcc1', 'rfx2', 'rhov', 'rnd1b', 'sdc4', 'si:dkey-261m9.12', 'skilb', 'smtnl', 'sox11a', 'sox11b', 'sox13', 'sox3', 'sp8b', 'stox1', 'tbx16', 'tcf3b', 'tcf7', 'tead1a', 'tgif1', 'tlcd5a', 'tshz3b', 'tuba1a', 'uhrf1', 'uncx4.1', 'vgll4l', 'wnt8a', 'ypel3', 'zc4h2', 'zic2a', 'znf185', 'zswim5']"
Definitive endoderm early,Ventral and lateral mesoderm,"['acvr1ba', 'alcamb', 'aldob', 'atf6', 'atp2b1a', 'axin2', 'bach1b', 'bmp2b', 'bmp4', 'cdh2', 'cdkn1ca', 'creb3l1', 'creb3l2', 'cst3', 'dbx1a', 'ddx4', 'dkk1b', 'dnmt3bb.2', 'dynll1', 'epcam', 'epha2a', 'etv4', 'etv5b', 'eve1', 'f11r.1', 'fbln2', 'fgf8a', 'fnbp1l', 'foxp1b', 'fscn1a', 'fzd7a', 'gbx1', 'gli2a', 'gsc', 'id3', 'ism1', 'itgb5', 'jcada', 'kirrel3l', 'klf2b', 'klf3', 'krt18a.1', 'krt4', 'krt8', 'krt99', 'lamc1', 'lamp2', 'lft1', 'lft2', 'lhx1a', 'lhx5', 'lima1a', 'mespab', 'mixl1', 'mns1', 'nog1', 'noto', 'ntd5', 'oclna', 'olig4', 'otx2b', 'pcdh8', 'perp', 'rasl11b', 'rcc1', 'rfx2', 'rnd1b', 'rrbp1b', 'sdc4', 'shha', 'si:ch211-155e24.3', 'si:dkey-261m9.12', 'six7', 'skia', 'snai1a', 'sox11a', 'sox3', 'sp5l', 'sp8b', 'stox1', 'tagln2', 'tbx16', 'tbx6', 'tbxta', 'tcf3b', 'tcf7l1a', 'tdgf1', 'tgif1', 'tph1b', 'tram1', 'twist2', 'vent', 'zeb1a', 'znf185']"
