source,target,bleed_genes
Definitive endoderm early,tailbud PSM,"['acvr1ba', 'aldob', 'apoc1', 'arl4ab', 'arl4d', 'bambia', 'bmp2b', 'bmp4', 'bmp7a', 'cdh1', 'cdh2', 'cdkn1ca', 'chrd', 'creb3l1', 'creb3l2', 'dbx1a', 'ddx4', 'dkk1b', 'dnmt3bb.2', 'dynll1', 'efna1a', 'efnb2a', 'elf1', 'epcam', 'eppk1', 'etv5b', 'f11r.1', 'flrt3', 'fn1a', 'fnbp1l', 'foxa', 'foxh1', 'foxp1b', 'fzd7a', 'gsc', 'her9', 'ism1', 'kazald2', 'klf8', 'krt4', 'krt8', 'krt99', 'lamb1a', 'lamc1', 'lhx5', 'mixl1', 'mns1', 'mycla', 'myclb', 'nasp', 'noto', 'ntd5', 'oclna', 'perp', 'plekhg5b', 'prdm1a', 'raraa', 'rasl11b', 'rcc1', 'rfx2', 'ripply1', 'sdc4', 'shha', 'si:ch211-155e24.3', 'si:dkey-261m9.12', 'skia', 'sox11a', 'sox11b', 'sp5l', 'sp8b', 'stox1', 'szl', 'tagln2', 'tcf7l1b', 'tdgf1', 'tead1a', 'tfap2c', 'tgif1', 'tp63', 'tshz3b', 'uhrf1', 'vent', 'ypel3', 'zic2a', 'zic3', 'znf185', 'znfl2a']"
Definitive endoderm late,Definitive endoderm early,"['ackr3b', 'add3b', 'ahi1', 'aplnra', 'apoc1', 'arl4ab', 'arl4d', 'atf6', 'axin2', 'bach1b', 'baz1b', 'bmp7a', 'btg2', 'c1qbp', 'cdc14b', 'cdh2', 'cdh6', 'cdkn1ca', 'cdx1a', 'cdx4', 'creb3l1', 'creb3l2', 'dld', 'dlx3b', 'dnmt3bb.2', 'drll.2', 'drll.3', 'efemp2b', 'efna1a', 'elf1', 'epha2a', 'ephb3a', 'erf', 'esrra', 'etv4', 'etv5b', 'fbln2', 'fezf2', 'fn1a', 'fnbp1l', 'foxa2', 'foxb1a', 'foxc1b', 'foxd3', 'foxd5', 'foxh1', 'foxi1', 'foxp1b', 'foxp2', 'gata2a', 'gata5', 'gbx1', 'gli2a', 'grhl1', 'grhl2b', 'her7', 'her8a', 'hoxb1b', 'itgb5', 'itm2cb', 'klf3', 'klf8', 'lamb1a', 'lbx2', 'lef1', 'lhfpl6', 'lima1a', 'lmo4a', 'map2k6', 'meis1b', 'meis3', 'meox1', 'msx3', 'mycla', 'myclb', 'mycn', 'myf5', 'nog1', 'noto', 'nrarpa', 'nsd2', 'ntd5', 'otx2b', 'pcdh10b', 'perp', 'ppan', 'prdm1a', 'prickle1b', 'rab11fip4a', 'raraa', 'rbbp4', 'rreb1a', 'si:ch211-106e7.2', 'smtnl', 'sox13', 'sox17', 'sox5', 'sp5l', 'stox1', 'szl', 'tbxtb', 'tcf7', 'tcf7l1b', 'tfap2c', 'tlcd5a', 'tp63', 'tram1', 'tshz3b', 'tuba1a', 'twist2', 'uhrf1', 'unc5b', 'uncx4.1', 'ved', 'wnt11f2', 'wnt8a', 'zc4h2', 'zeb2b', 'zic2b']"
Definitive endoderm late,Ectoderm ventral anterior,"['apoc1', 'arl4ab', 'atf6', 'axin2', 'bach1b', 'btg2', 'cdx1a', 'cdx4', 'clic4', 'creb3l1', 'creb3l2', 'cst3', 'dact2', 'dld', 'drll.3', 'efemp2b', 'efna1a', 'esrra', 'ets2', 'etv5b', 'eve1', 'fgf8a', 'foxc1b', 'gbx1', 'gli2a', 'gsc', 'helb', 'her6', 'itm2cb', 'jcada', 'klf3', 'krt18a.1', 'krt8', 'lamb1a', 'lbx2', 'lft1', 'lima1a', 'meis3', 'meox1', 'mixl1', 'myf5', 'ndr2', 'ntd5', 'osr1', 'otx2a', 'pcdh8', 'perp', 'pknox1.1', 'raraa', 'rfx2', 'ripply1', 'rnd1b', 'rrbp1b', 'sall3b', 'shha', 'si:ch211-106e7.2', 'si:ch211-155e24.3', 'sox5', 'stox1', 'szl', 'tbxtb', 'tcf3b', 'twist2', 'vent', 'wnt8a', 'zswim5']"
Definitive endoderm late,Mesoderm caudal,"['acvr1ba', 'aldob', 'apoc1', 'arl4ab', 'arl4d', 'atf6', 'bach1b', 'baz1b', 'bmp2b', 'bmp7a', 'btg2', 'cdc14b', 'cdh1', 'cdh2', 'cdkn1ca', 'creb3l1', 'creb3l2', 'cst3', 'ddx4', 'dlx3b', 'dnmt3bb.2', 'efna1a', 'elf1', 'ephb3a', 'eppk1', 'erf', 'etv5b', 'flrt3', 'fn1a', 'fnbp1l', 'foxa', 'foxi1', 'foxp1b', 'gbx1', 'gli2a', 'grhl1', 'gsc', 'her9', 'hoxb1b', 'klf2b', 'klf8', 'krt18a.1', 'krt8', 'lamb1a', 'lamc1', 'map2k6', 'meox1', 'mns1', 'msx3', 'mycla', 'myclb', 'noto', 'nsd2', 'perp', 'plekhg5b', 'ppan', 'prdm1a', 'raraa', 'rbbp4', 'rfx2', 'rrbp1b', 'sox11b', 'sp5l', 'stox1', 'szl', 'tagln2', 'tead1a', 'tfap2c', 'tp63', 'tram1', 'tshz3b', 'tuba1a', 'twist2', 'vent']"
Definitive endoderm late,Mesoderm ventral,"['acvr1ba', 'alcamb', 'aldob', 'apoc1', 'arl4ab', 'arl4d', 'atf6', 'atp2b1a', 'axin2', 'bach1b', 'bambia', 'baz1b', 'bmp2b', 'bmp4', 'bmp7a', 'btg2', 'c1qbp', 'cdh1', 'cdh2', 'cdh6', 'cdkn1ca', 'cdx4', 'creb3l2', 'ddx4', 'dlx3b', 'dnmt3bb.2', 'ednraa', 'elf1', 'epha2a', 'ephb3a', 'esrra', 'ets2', 'etv4', 'etv5b', 'eve1', 'f11r.1', 'fbln2', 'fnbp1l', 'foxa3', 'foxd3', 'foxp1b', 'gata2a', 'gata5', 'gbx1', 'gli2a', 'gsc', 'her5', 'her8a', 'her9', 'id3', 'klf2b', 'klf3', 'krt18a.1', 'krt8', 'lamb1a', 'lft2', 'lima1a', 'map2k6', 'mns1', 'mycla', 'myclb', 'nasp', 'noto', 'nrarpa', 'nsd2', 'olig4', 'otx2a', 'perp', 'ppan', 'prdm1a', 'raraa', 'rbbp4', 'rfx2', 'si:ch211-155e24.3', 'six4b', 'smtnl', 'sox2', 'sox3', 'sp5l', 'sp8b', 'stox1', 'szl', 'tagln2', 'tcf7l1b', 'tgif1', 'tp63', 'tram1', 'tshz3b', 'twist2', 'unc5b', 'uncx4.1', 'ved', 'vent', 'zic2b', 'znf185']"
Definitive endoderm late,Paraxial mesoderm,"['acvr1ba', 'aldob', 'arl4d', 'atf6', 'atp2b1a', 'axin2', 'baz1b', 'c1qbp', 'cdc14b', 'cdh1', 'cdh2', 'cdx1a', 'cdx4', 'creb3l2', 'cst3', 'ddx4', 'dnmt3bb.2', 'drll.2', 'drll.3', 'dynll1', 'ednraa', 'efna1a', 'elf1', 'eppk1', 'etv4', 'etv5b', 'eve1', 'f11r.1', 'fbln2', 'flrt3', 'fn1a', 'fnbp1l', 'foxh1', 'foxi1', 'foxp2', 'fscn1a', 'gata6', 'gbx1', 'grhl1', 'gsc', 'her9', 'klf8', 'krt18a.1', 'krt8', 'lamb1a', 'lamp2', 'lft2', 'map2k6', 'mns1', 'msx3', 'mycla', 'myclb', 'mycn', 'nasp', 'nog1', 'noto', 'nrarpa', 'nsd2', 'perp', 'plekhg5b', 'ppan', 'prdm1a', 'raraa', 'rasl11b', 'rbbp4', 'rcc1', 'rfx2', 'rnd1b', 'rrbp1b', 'si:ch211-106e7.2', 'sox11b', 'sox3', 'stox1', 'tagln2', 'tcf7', 'tdgf1', 'tead1a', 'tgif1', 'tp63', 'tram1', 'tshz3b', 'twist2', 'uhrf1', 'zc4h2', 'zic2b', 'znf185', 'znfl2a']"
Definitive endoderm late,Prechordal plate early,"['acvr1ba', 'add3b', 'ahi1', 'aldob', 'anp32e', 'apoc1', 'atf6', 'atp2b1a', 'bambia', 'baz1b', 'bmp4', 'c1qbp', 'cdc14b', 'cdh2', 'cdkn1ca', 'cdx1a', 'ddx4', 'dld', 'dnmt3bb.2', 'drll.2', 'efna1a', 'eppk1', 'erf', 'esrra', 'etv4', 'etv5b', 'f11r.1', 'fn1a', 'fn1b', 'fnbp1l', 'foxb1a', 'foxc1b', 'foxi1', 'fscn1a', 'gli2a', 'grhl1', 'helb', 'her7', 'hoxb1b', 'itgb5', 'itm2cb', 'klf3', 'lamb1a', 'lamc1', 'lbx2', 'lef1', 'lhfpl6', 'meis1b', 'mns1', 'mycla', 'nasp', 'nsd2', 'pknox1.1', 'rbbp4', 'rcc1', 'rfx2', 'rhov', 'rnd1b', 'rreb1a', 'smtnl', 'snai1a', 'sox11b', 'sox13', 'sox5', 'tbx16', 'tcf3b', 'tcf7', 'tead1a', 'tgif1', 'tlcd5a', 'tshz3b', 'tuba1a', 'uhrf1', 'vgll4l', 'wnt8a', 'zc4h2', 'zic2b', 'znf185']"
Definitive endoderm late,tailbud PSM,"['acvr1ba', 'aldob', 'apoc1', 'arl4ab', 'arl4d', 'atp2b1a', 'bambia', 'baz1b', 'bmp2b', 'bmp4', 'bmp7a', 'btg2', 'cdh1', 'cdh2', 'cdkn1ca', 'creb3l1', 'creb3l2', 'cst3', 'ddx4', 'dkk1b', 'dlx3b', 'dnmt3bb.2', 'drll.3', 'dynll1', 'efna1a', 'efnb2a', 'elf1', 'ephb3a', 'eppk1', 'etv5b', 'f11r.1', 'flrt3', 'fn1a', 'fnbp1l', 'foxa', 'foxd5', 'foxi1', 'fzd7a', 'gli2a', 'grhl1', 'gsc', 'her9', 'krt18a.1', 'krt4', 'krt8', 'lamb1a', 'lamc1', 'lamp2', 'map2k6', 'mns1', 'msx3', 'mycla', 'myclb', 'nasp', 'noto', 'nsd2', 'ntd5', 'perp', 'prdm1a', 'prickle1b', 'raraa', 'rbbp4', 'rfx2', 'rrbp1b', 'sdc4', 'sox11b', 'sp5l', 'stox1', 'szl', 'tagln2', 'tdgf1', 'tead1a', 'tfap2c', 'tgif1', 'tp63', 'tram1', 'tshz3b', 'twist2', 'uhrf1', 'ved', 'vent', 'zic2a']"
Dorsal margin,EVL,"['acvr1ba', 'atp2b1a', 'axin2', 'bmp4', 'btg2', 'cdh6', 'clic4', 'creb3l2', 'cst3', 'cxcr4a', 'dkk1b', 'efemp2b', 'efnb2a', 'ephb3a', 'erf', 'eve1', 'fbln2', 'fgf8a', 'fn1b', 'foxa', 'foxc1a', 'foxh1', 'foxn2b', 'foxp1b', 'fzd7a', 'gli2a', 'gsc', 'helb', 'her5', 'her9', 'hoxb1b', 'id3', 'irx1b', 'itgb5', 'itm2cb', 'jcada', 'lamp2', 'lhfpl6', 'map2k6', 'meis1b', 'meis3', 'mespab', 'mixl1', 'msx3', 'mych', 'osr1', 'otx2a', 'pcdh10b', 'pcdh8', 'ppan', 'rab11fip4a', 'rhov', 'rnd1b', 'shha', 'si:ch211-155e24.3', 'si:dkey-261m9.12', 'six7', 'skia', 'skilb', 'snai1a', 'sox13', 'sox19a', 'sox2', 'sox5', 'sp8b', 'tbx16', 'tbx6', 'tcf7', 'tcf7l1a', 'tcf7l1b', 'tdgf1', 'tram1', 'wnt11f2', 'ypel3', 'zeb2b', 'zswim5']"
Dorsal margin,Ectoderm dorsal posterior,"['acvr1ba', 'admp', 'aplnra', 'arl4ab', 'arl4d', 'cdc14b', 'cdh1', 'cdh2', 'cdh6', 'cdkn1ca', 'cdx1a', 'creb3l1', 'cst3', 'efemp2b', 'efnb2a', 'efnb2b', 'elf1', 'esrra', 'etv4', 'f11r.1', 'fbln2', 'flrt3', 'fn1a', 'fn1b', 'foxa', 'fscn1a', 'gata6', 'gsc', 'helb', 'ism1', 'itgb5', 'itm2cb', 'jcada', 'kirrel3l', 'klf3', 'lamb1a', 'lamc1', 'lamp2', 'lef1', 'lhfpl6', 'meis1b', 'mespab', 'mixl1', 'mns1', 'myf5', 'notch1a', 'osr1', 'pcdh8', 'perp', 'pknox1.1', 'rab11fip4a', 'rasgef1ba', 'rfx2', 'rhov', 'ripply1', 'rnd1b', 'rreb1a', 'sdc4', 'shha', 'six4a', 'skilb', 'snai1a', 'sox13', 'sox5', 'tagln2', 'tbx16', 'tbx16l', 'tcf3b', 'tcf7', 'tlcd5a', 'tshz3b', 'tuba1a', 'tuba8l2', 'ypel3', 'znfl2a', 'zswim5']"
Dorsal margin,Ectoderm ventral posterior,"['acvr1ba', 'aplnra', 'arl4d', 'atf6', 'btg2', 'cdc14b', 'cdh2', 'cdkn1ca', 'cst3', 'dkk1b', 'efna1a', 'efnb2b', 'ephb3a', 'esrra', 'f11r.1', 'fbln2', 'flrt3', 'fn1a', 'fn1b', 'foxa', 'foxb1b', 'foxd5', 'gata5', 'gata6', 'gsc', 'her1', 'her5', 'her9', 'irx1b', 'irx7', 'ism1', 'itgb5', 'itm2cb', 'jcada', 'krt18a.1', 'lamc1', 'lamp2', 'lhfpl6', 'meis1b', 'mespab', 'mixl1', 'myf5', 'nog1', 'notch1a', 'nsd2', 'osr1', 'pcdh8', 'perp', 'pknox1.1', 'prickle1b', 'rasgef1ba', 'rasl11b', 'rfx2', 'rhov', 'ripply1', 'sdc4', 'shha', 'six4a', 'six7', 'skilb', 'smtnl', 'sox13', 'sox32', 'sox5', 'sp5l', 'tbx1', 'tbx6', 'tbxta', 'tbxtb', 'tcf3b', 'tcf7l1a', 'tcf7l1b', 'tlcd5a', 'tshz3b', 'tuba1a', 'tuba8l2', 'twist2', 'wnt8a', 'ypel3', 'zeb1a', 'zswim5']"
Dorsal margin,Notochord early,"['acvr1ba', 'add3b', 'aldob', 'anp32e', 'arl4d', 'atp2b1a', 'axin2', 'bambia', 'bmp7a', 'btg2', 'cdc14b', 'cdh1', 'cdx1a', 'cdx4', 'crabp2b', 'cxcr4a', 'dnmt3bb.2', 'dynll1', 'efemp2b', 'efna1a', 'efnb2a', 'epcam', 'esrra', 'etv4', 'etv5b', 'eve1', 'f11r.1', 'fgf8a', 'fn1b', 'fnbp1l', 'foxc1a', 'foxi1', 'fscn1a', 'gli2a', 'helb', 'her1', 'her5', 'her6', 'her7', 'irx1b', 'irx7', 'itgb5', 'itm2cb', 'kazald2', 'klf2a', 'klf3', 'krt18a.1', 'lef1', 'lft1', 'lima1a', 'map2k6', 'meis1b', 'meis3', 'mespab', 'mixl1', 'mns1', 'msx1b', 'mych', 'mycla', 'myf5', 'nasp', 'oclna', 'osr1', 'pcdh8', 'pknox1.1', 'plekhg5b', 'raraa', 'rbbp4', 'rcc1', 'rfx2', 'rhov', 'ripply1', 'rnd1b', 'rreb1a', 'sdc4', 'si:ch211-155e24.3', 'si:dkey-261m9.12', 'six4a', 'skia', 'skilb', 'sox11b', 'sox13', 'sox5', 'sp5l', 'sp8b', 'stox1', 'tagln2', 'tcf3b', 'tcf7', 'tead1a', 'tgif1', 'tlcd5a', 'uhrf1', 'ved', 'vgll4l', 'vrtn', 'wnt8a', 'ypel3', 'zc4h2', 'zeb1a', 'zeb2b', 'znfl2a', 'zswim5']"
EVL,Dorsal margin,"['arl4d', 'atf6', 'creb3l1', 'drll.2', 'ednraa', 'efna1a', 'foxc1b', 'klf8', 'lima1a', 'mycn', 'six4b', 'smtnl', 'tp63', 'unc5b', 'vgll4l']"
EVL,Ectoderm dorsal anterior,"['arl4ab', 'atf6', 'drll.2', 'fn1b', 'foxa', 'foxc1b', 'grhl2b', 'itgb5', 'lhx1a', 'lima1a', 'noto', 'rhov', 'sdc4', 'smtnl', 'tbxtb', 'tdgf1', 'unc5b', 'vgll4l', 'wnt8a', 'xbp1', 'ypel3']"
